crn,report_month,reference_date,DateOfEnquiry,EnquiringMemberShortName,ENQUIRYPURPOSE_NEW,enquiryamount
10472013941,202602,2026-01-30,2025-12-15,KOTAK BANK,Commercial Vehicle Loan,42042000
10472013941,202602,2026-01-30,2025-12-09,KOTAK BANK,Commercial Vehicle Loan,27081000
10472013941,202602,2026-01-30,2025-12-09,KOTAK BANK,Commercial Vehicle Loan,27081000
10472013941,202602,2026-01-30,2025-09-16,NOT DISCLOSED,Other,12531000
10472013941,202602,2026-01-30,2025-09-15,NOT DISCLOSED,Other,12531000
10472013941,202602,2026-01-30,2025-09-15,NOT DISCLOSED,Other,12531000
10472013941,202602,2026-01-30,2025-08-20,NOT DISCLOSED,Other,4500000
10472013941,202602,2026-01-30,2025-08-02,KOTAK BANK,Commercial Vehicle Loan,4885000
10472013941,202602,2026-01-30,2025-07-31,KOTAK BANK,Commercial Vehicle Loan,4885000
10472013941,202602,2026-01-30,2025-05-16,NOT DISCLOSED,Other,1
10472013941,202602,2026-01-30,2025-05-15,NOT DISCLOSED,Other,4500000
10472013941,202602,2026-01-30,2025-05-13,NOT DISCLOSED,Auto Loan,1250000
10472013941,202602,2026-01-30,2025-05-12,NOT DISCLOSED,Auto Loan,1
10472013941,202602,2026-01-30,2025-05-09,NOT DISCLOSED,Auto Loan,1200000
10472013941,202602,2026-01-30,2025-05-07,NOT DISCLOSED,Auto Loan,1010000
10472013941,202602,2026-01-30,2025-05-07,NOT DISCLOSED,Auto Loan,100000
10472013941,202602,2026-01-30,2025-01-06,NOT DISCLOSED,Other,4067000
10472013941,202602,2026-01-30,2024-12-06,KOTAK BANK,Commercial Vehicle Loan,3500000
10472013941,202602,2026-01-30,2024-12-05,KOTAK BANK,Commercial Vehicle Loan,3500000
10472013941,202602,2026-01-30,2024-11-30,KOTAK BANK,Commercial Vehicle Loan,80640000
10472013941,202602,2026-01-30,2024-08-14,NOT DISCLOSED,Other,80640000
10472013941,202602,2026-01-30,2024-08-13,NOT DISCLOSED,Other,80640000
10472013941,202602,2026-01-30,2024-08-05,KOTAK BANK,Commercial Vehicle Loan,77172000
10472013941,202602,2026-01-30,2024-07-04,NOT DISCLOSED,Other,1
10472013941,202602,2026-01-30,2024-06-21,NOT DISCLOSED,Other,90200000
10472013941,202602,2026-01-30,2024-06-12,KOTAK BANK,Commercial Vehicle Loan,24100000
10472013941,202602,2026-01-30,2024-05-16,NOT DISCLOSED,Other,90200000
10472013941,202602,2026-01-30,2024-04-03,KOTAK BANK,Commercial Vehicle Loan,101300000
10472013941,202602,2026-01-30,2024-02-29,KOTAK BANK,Commercial Vehicle Loan,89289312
10472013941,202602,2026-01-30,2024-01-17,NOT DISCLOSED,,3000000
10472013941,202602,2026-01-30,2023-10-20,KOTAK BANK,Commercial Vehicle Loan,41949000
10472013941,202602,2026-01-30,2023-10-19,NOT DISCLOSED,Auto Loan,4200000
10472013941,202602,2026-01-30,2023-10-18,NOT DISCLOSED,Auto Loan,4200000
10472013941,202602,2026-01-30,2023-10-18,NOT DISCLOSED,Auto Loan,550000
10472013941,202602,2026-01-30,2023-08-03,KOTAK BANK,Commercial Vehicle Loan,800000
10472013941,202602,2026-01-30,2023-07-04,NOT DISCLOSED,Housing Loan,6000000
10472013941,202602,2026-01-30,2023-04-28,KOTAK BANK,Commercial Vehicle Loan,37700000
10472013941,202602,2026-01-30,2023-04-27,KOTAK BANK,Commercial Vehicle Loan,37700000
10472013941,202602,2026-01-30,2023-04-05,KOTAK BANK,Commercial Vehicle Loan,800000
10472013941,202602,2026-01-30,2023-03-31,KOTAK BANK,Housing Loan,7000000
10472013941,202602,2026-01-30,2023-03-23,KOTAK BANK,Housing Loan,7000000
10472013941,202602,2026-01-30,2023-01-11,NOT DISCLOSED,BLPSOTH Business Loan - Priority Sector - Others,200000
